Personel Notebook - A2 ZAMAN & SAATLER (1441 Kelime)
====================================================

No   | Saat  | English                              | Türkçe
172  | 02:50 | ten to three a.m.                    | gece üçe on var
173  | 02:51 | nine minutes to three a.m.           | gece üçe dokuz var
174  | 02:52 | eight minutes to three a.m.          | gece üçe sekiz var
175  | 02:53 | seven minutes to three a.m.          | gece üçe yedi var
176  | 02:54 | six minutes to three a.m.            | gece üçe altı var
177  | 02:55 | five to three a.m.                   | gece üçe beş var
178  | 02:56 | four minutes to three a.m.           | gece üçe dört var
179  | 02:57 | three minutes to three a.m.          | gece üçe üç var
180  | 02:58 | two minutes to three a.m.            | gece üçe iki var
181  | 02:59 | one minute to three a.m.             | gece üçe bir var
182  | 03:00 | three o'clock a.m.                   | gece üç
183  | 03:01 | one minute past three a.m.           | gece üçü bir geçiyor
184  | 03:02 | two minutes past three a.m.          | gece üçü iki geçiyor
185  | 03:03 | three minutes past three a.m.        | gece üçü üç geçiyor
186  | 03:04 | four minutes past three a.m.         | gece üçü dört geçiyor
187  | 03:05 | five past three a.m.                 | gece üçü beş geçiyor
188  | 03:06 | six minutes past three a.m.          | gece üçü altı geçiyor
189  | 03:07 | seven minutes past three a.m.        | gece üçü yedi geçiyor
190  | 03:08 | eight minutes past three a.m.        | gece üçü sekiz geçiyor
191  | 03:09 | nine minutes past three a.m.         | gece üçü dokuz geçiyor
192  | 03:10 | ten past three a.m.                  | gece üçü on geçiyor
193  | 03:11 | eleven minutes past three a.m.       | gece üçü on bir geçiyor
194  | 03:12 | twelve minutes past three a.m.       | gece üçü on iki geçiyor
195  | 03:13 | thirteen minutes past three a.m.     | gece üçü on üç geçiyor
196  | 03:14 | fourteen minutes past three a.m.     | gece üçü on dört geçiyor
197  | 03:15 | a quarter past three a.m.            | gece üçü çeyrek geçiyor
198  | 03:16 | sixteen minutes past three a.m.      | gece üçü on altı geçiyor
199  | 03:17 | seventeen minutes past three a.m.    | gece üçü on yedi geçiyor
200  | 03:18 | eighteen minutes past three a.m.     | gece üçü on sekiz geçiyor
201  | 03:19 | nineteen minutes past three a.m.     | gece üçü on dokuz geçiyor
202  | 03:20 | twenty past three a.m.               | gece üçü yirmi geçiyor
203  | 03:21 | twenty-one minutes past three a.m.   | gece üçü yirmi bir geçiyor
204  | 03:22 | twenty-two minutes past three a.m.   | gece üçü yirmi iki geçiyor
205  | 03:23 | twenty-three minutes past three a.m. | gece üçü yirmi üç geçiyor
206  | 03:24 | twenty-four minutes past three a.m.  | gece üçü yirmi dört geçiyor
207  | 03:25 | twenty-five past three a.m.          | gece üçü yirmi beş geçiyor
208  | 03:26 | twenty-six minutes past three a.m.   | gece üçü yirmi altı geçiyor
209  | 03:27 | twenty-seven minutes past three a.m. | gece üçü yirmi yedi geçiyor
210  | 03:28 | twenty-eight minutes past three a.m. | gece üçü yirmi sekiz geçiyor
211  | 03:29 | twenty-nine minutes past three a.m.  | gece üçü yirmi dokuz geçiyor
212  | 03:30 | half past three a.m.                 | gece üç buçuk
213  | 03:31 | twenty-nine minutes to four a.m.     | gece dörde yirmi dokuz var
214  | 03:32 | twenty-eight minutes to four a.m.    | gece dörde yirmi sekiz var
215  | 03:33 | twenty-seven minutes to four a.m.    | gece dörde yirmi yedi var
216  | 03:34 | twenty-six minutes to four a.m.      | gece dörde yirmi altı var
217  | 03:35 | twenty-five to four a.m.             | gece dörde yirmi beş var
218  | 03:36 | twenty-four minutes to four a.m.     | gece dörde yirmi dört var
219  | 03:37 | twenty-three minutes to four a.m.    | gece dörde yirmi üç var
220  | 03:38 | twenty-two minutes to four a.m.      | gece dörde yirmi iki var
221  | 03:39 | twenty-one minutes to four a.m.      | gece dörde yirmi bir var
222  | 03:40 | twenty to four a.m.                  | gece dörde yirmi var
223  | 03:41 | nineteen minutes to four a.m.        | gece dörde on dokuz var
224  | 03:42 | eighteen minutes to four a.m.        | gece dörde on sekiz var
225  | 03:43 | seventeen minutes to four a.m.       | gece dörde on yedi var
226  | 03:44 | sixteen minutes to four a.m.         | gece dörde on altı var
227  | 03:45 | a quarter to four a.m.               | gece dörde çeyrek var
228  | 03:46 | fourteen minutes to four a.m.        | gece dörde on dört var
229  | 03:47 | thirteen minutes to four a.m.        | gece dörde on üç var
230  | 03:48 | twelve minutes to four a.m.          | gece dörde on iki var
231  | 03:49 | eleven minutes to four a.m.          | gece dörde on bir var
232  | 03:50 | ten to four a.m.                     | gece dörde on var
233  | 03:51 | nine minutes to four a.m.            | gece dörde dokuz var
234  | 03:52 | eight minutes to four a.m.           | gece dörde sekiz var
235  | 03:53 | seven minutes to four a.m.           | gece dörde yedi var
236  | 03:54 | six minutes to four a.m.             | gece dörde altı var
237  | 03:55 | five to four a.m.                    | gece dörde beş var
238  | 03:56 | four minutes to four a.m.            | gece dörde dört var
239  | 03:57 | three minutes to four a.m.           | gece dörde üç var
240  | 03:58 | two minutes to four a.m.             | gece dörde iki var
241  | 03:59 | one minute to four a.m.              | gece dörde bir var
242  | 04:00 | four o'clock a.m.                    | gece dört
243  | 04:01 | one minute past four a.m.            | gece dördü bir geçiyor
244  | 04:02 | two minutes past four a.m.           | gece dördü iki geçiyor
245  | 04:03 | three minutes past four a.m.         | gece dördü üç geçiyor
246  | 04:04 | four minutes past four a.m.          | gece dördü dört geçiyor
247  | 04:05 | five past four a.m.                  | gece dördü beş geçiyor
248  | 04:06 | six minutes past four a.m.           | gece dördü altı geçiyor
249  | 04:07 | seven minutes past four a.m.         | gece dördü yedi geçiyor
250  | 04:08 | eight minutes past four a.m.         | gece dördü sekiz geçiyor
251  | 04:09 | nine minutes past four a.m.          | gece dördü dokuz geçiyor
252  | 04:10 | ten past four a.m.                   | gece dördü on geçiyor
253  | 04:11 | eleven minutes past four a.m.        | gece dördü on bir geçiyor
254  | 04:12 | twelve minutes past four a.m.        | gece dördü on iki geçiyor
255  | 04:13 | thirteen minutes past four a.m.      | gece dördü on üç geçiyor
256  | 04:14 | fourteen minutes past four a.m.      | gece dördü on dört geçiyor
257  | 04:15 | a quarter past four a.m.             | gece dördü çeyrek geçiyor
258  | 04:16 | sixteen minutes past four a.m.       | gece dördü on altı geçiyor
259  | 04:17 | seventeen minutes past four a.m.     | gece dördü on yedi geçiyor
260  | 04:18 | eighteen minutes past four a.m.      | gece dördü on sekiz geçiyor
261  | 04:19 | nineteen minutes past four a.m.      | gece dördü on dokuz geçiyor
262  | 04:20 | twenty past four a.m.                | gece dördü yirmi geçiyor
263  | 04:21 | twenty-one minutes past four a.m.    | gece dördü yirmi bir geçiyor
264  | 04:22 | twenty-two minutes past four a.m.    | gece dördü yirmi iki geçiyor
265  | 04:23 | twenty-three minutes past four a.m.  | gece dördü yirmi üç geçiyor
266  | 04:24 | twenty-four minutes past four a.m.   | gece dördü yirmi dört geçiyor
267  | 04:25 | twenty-five past four a.m.           | gece dördü yirmi beş geçiyor
268  | 04:26 | twenty-six minutes past four a.m.    | gece dördü yirmi altı geçiyor
269  | 04:27 | twenty-seven minutes past four a.m.  | gece dördü yirmi yedi geçiyor
270  | 04:28 | twenty-eight minutes past four a.m.  | gece dördü yirmi sekiz geçiyor
271  | 04:29 | twenty-nine minutes past four a.m.   | gece dördü yirmi dokuz geçiyor
272  | 04:30 | half past four a.m.                  | gece dört buçuk
273  | 04:31 | twenty-nine minutes to five a.m.     | gece beşe yirmi dokuz var
274  | 04:32 | twenty-eight minutes to five a.m.    | gece beşe yirmi sekiz var
275  | 04:33 | twenty-seven minutes to five a.m.    | gece beşe yirmi yedi var
276  | 04:34 | twenty-six minutes to five a.m.      | gece beşe yirmi altı var
277  | 04:35 | twenty-five to five a.m.             | gece beşe yirmi beş var
278  | 04:36 | twenty-four minutes to five a.m.     | gece beşe yirmi dört var
279  | 04:37 | twenty-three minutes to five a.m.    | gece beşe yirmi üç var
280  | 04:38 | twenty-two minutes to five a.m.      | gece beşe yirmi iki var
281  | 04:39 | twenty-one minutes to five a.m.      | gece beşe yirmi bir var
282  | 04:40 | twenty to five a.m.                  | gece beşe yirmi var
283  | 04:41 | nineteen minutes to five a.m.        | gece beşe on dokuz var
284  | 04:42 | eighteen minutes to five a.m.        | gece beşe on sekiz var
285  | 04:43 | seventeen minutes to five a.m.       | gece beşe on yedi var
286  | 04:44 | sixteen minutes to five a.m.         | gece beşe on altı var
287  | 04:45 | a quarter to five a.m.               | gece beşe çeyrek var
288  | 04:46 | fourteen minutes to five a.m.        | gece beşe on dört var
289  | 04:47 | thirteen minutes to five a.m.        | gece beşe on üç var
290  | 04:48 | twelve minutes to five a.m.          | gece beşe on iki var
291  | 04:49 | eleven minutes to five a.m.          | gece beşe on bir var
292  | 04:50 | ten to five a.m.                     | gece beşe on var
293  | 04:51 | nine minutes to five a.m.            | gece beşe dokuz var
294  | 04:52 | eight minutes to five a.m.           | gece beşe sekiz var
295  | 04:53 | seven minutes to five a.m.           | gece beşe yedi var
296  | 04:54 | six minutes to five a.m.             | gece beşe altı var
297  | 04:55 | five to five a.m.                    | gece beşe beş var
298  | 04:56 | four minutes to five a.m.            | gece beşe dört var
299  | 04:57 | three minutes to five a.m.           | gece beşe üç var
300  | 04:58 | two minutes to five a.m.             | gece beşe iki var
301  | 04:59 | one minute to five a.m.              | gece beşe bir var
302  | 05:00 | five o'clock a.m.                    | sabah beş
303  | 05:01 | one minute past five a.m.            | sabah beşi bir geçiyor
304  | 05:02 | two minutes past five a.m.           | sabah beşi iki geçiyor
305  | 05:03 | three minutes past five a.m.         | sabah beşi üç geçiyor
306  | 05:04 | four minutes past five a.m.          | sabah beşi dört geçiyor
307  | 05:05 | five past five a.m.                  | sabah beşi beş geçiyor
308  | 05:06 | six minutes past five a.m.           | sabah beşi altı geçiyor
309  | 05:07 | seven minutes past five a.m.         | sabah beşi yedi geçiyor
310  | 05:08 | eight minutes past five a.m.         | sabah beşi sekiz geçiyor
311  | 05:09 | nine minutes past five a.m.          | sabah beşi dokuz geçiyor
312  | 05:10 | ten past five a.m.                   | sabah beşi on geçiyor
313  | 05:11 | eleven minutes past five a.m.        | sabah beşi on bir geçiyor
314  | 05:12 | twelve minutes past five a.m.        | sabah beşi on iki geçiyor
315  | 05:13 | thirteen minutes past five a.m.      | sabah beşi on üç geçiyor
316  | 05:14 | fourteen minutes past five a.m.      | sabah beşi on dört geçiyor
317  | 05:15 | a quarter past five a.m.             | sabah beşi çeyrek geçiyor
318  | 05:16 | sixteen minutes past five a.m.       | sabah beşi on altı geçiyor
319  | 05:17 | seventeen minutes past five a.m.     | sabah beşi on yedi geçiyor
320  | 05:18 | eighteen minutes past five a.m.      | sabah beşi on sekiz geçiyor
321  | 05:19 | nineteen minutes past five a.m.      | sabah beşi on dokuz geçiyor
322  | 05:20 | twenty past five a.m.                | sabah beşi yirmi geçiyor
323  | 05:21 | twenty-one minutes past five a.m.    | sabah beşi yirmi bir geçiyor
324  | 05:22 | twenty-two minutes past five a.m.    | sabah beşi yirmi iki geçiyor
325  | 05:23 | twenty-three minutes past five a.m.  | sabah beşi yirmi üç geçiyor
326  | 05:24 | twenty-four minutes past five a.m.   | sabah beşi yirmi dört geçiyor
327  | 05:25 | twenty-five past five a.m.           | sabah beşi yirmi beş geçiyor
328  | 05:26 | twenty-six minutes past five a.m.    | sabah beşi yirmi altı geçiyor
329  | 05:27 | twenty-seven minutes past five a.m.  | sabah beşi yirmi yedi geçiyor
330  | 05:28 | twenty-eight minutes past five a.m.  | sabah beşi yirmi sekiz geçiyor
331  | 05:29 | twenty-nine minutes past five a.m.   | sabah beşi yirmi dokuz geçiyor
332  | 05:30 | half past five a.m.                  | sabah beş buçuk
333  | 05:31 | twenty-nine minutes to six a.m.      | sabah altıya yirmi dokuz var
334  | 05:32 | twenty-eight minutes to six a.m.     | sabah altıya yirmi sekiz var
335  | 05:33 | twenty-seven minutes to six a.m.     | sabah altıya yirmi yedi var
336  | 05:34 | twenty-six minutes to six a.m.       | sabah altıya yirmi altı var
337  | 05:35 | twenty-five to six a.m.              | sabah altıya yirmi beş var
338  | 05:36 | twenty-four minutes to six a.m.      | sabah altıya yirmi dört var
339  | 05:37 | twenty-three minutes to six a.m.     | sabah altıya yirmi üç var
340  | 05:38 | twenty-two minutes to six a.m.       | sabah altıya yirmi iki var
341  | 05:39 | twenty-one minutes to six a.m.       | sabah altıya yirmi bir var
342  | 05:40 | twenty to six a.m.                   | sabah altıya yirmi var
343  | 05:41 | nineteen minutes to six a.m.         | sabah altıya on dokuz var
344  | 05:42 | eighteen minutes to six a.m.         | sabah altıya on sekiz var
345  | 05:43 | seventeen minutes to six a.m.        | sabah altıya on yedi var
346  | 05:44 | sixteen minutes to six a.m.          | sabah altıya on altı var
347  | 05:45 | a quarter to six a.m.                | sabah altıya çeyrek var
348  | 05:46 | fourteen minutes to six a.m.         | sabah altıya on dört var
349  | 05:47 | thirteen minutes to six a.m.         | sabah altıya on üç var
350  | 05:48 | twelve minutes to six a.m.           | sabah altıya on iki var
351  | 05:49 | eleven minutes to six a.m.           | sabah altıya on bir var
352  | 05:50 | ten to six a.m.                      | sabah altıya on var
353  | 05:51 | nine minutes to six a.m.             | sabah altıya dokuz var
354  | 05:52 | eight minutes to six a.m.            | sabah altıya sekiz var
355  | 05:53 | seven minutes to six a.m.            | sabah altıya yedi var
356  | 05:54 | six minutes to six a.m.              | sabah altıya altı var
357  | 05:55 | five to six a.m.                     | sabah altıya beş var
358  | 05:56 | four minutes to six a.m.             | sabah altıya dört var
359  | 05:57 | three minutes to six a.m.            | sabah altıya üç var
360  | 05:58 | two minutes to six a.m.              | sabah altıya iki var
361  | 05:59 | one minute to six a.m.               | sabah altıya bir var
362  | 06:00 | six o'clock a.m.                     | sabah altı
363  | 06:01 | one minute past six a.m.             | sabah altıyı bir geçiyor
364  | 06:02 | two minutes past six a.m.            | sabah altıyı iki geçiyor
365  | 06:03 | three minutes past six a.m.          | sabah altıyı üç geçiyor
366  | 06:04 | four minutes past six a.m.           | sabah altıyı dört geçiyor
367  | 06:05 | five past six a.m.                   | sabah altıyı beş geçiyor
368  | 06:06 | six minutes past six a.m.            | sabah altıyı altı geçiyor
369  | 06:07 | seven minutes past six a.m.          | sabah altıyı yedi geçiyor
370  | 06:08 | eight minutes past six a.m.          | sabah altıyı sekiz geçiyor
371  | 06:09 | nine minutes past six a.m.           | sabah altıyı dokuz geçiyor
372  | 06:10 | ten past six a.m.                    | sabah altıyı on geçiyor
373  | 06:11 | eleven minutes past six a.m.         | sabah altıyı on bir geçiyor
374  | 06:12 | twelve minutes past six a.m.         | sabah altıyı on iki geçiyor
375  | 06:13 | thirteen minutes past six a.m.       | sabah altıyı on üç geçiyor
376  | 06:14 | fourteen minutes past six a.m.       | sabah altıyı on dört geçiyor
377  | 06:15 | a quarter past six a.m.              | sabah altıyı çeyrek geçiyor
378  | 06:16 | sixteen minutes past six a.m.        | sabah altıyı on altı geçiyor
379  | 06:17 | seventeen minutes past six a.m.      | sabah altıyı on yedi geçiyor
380  | 06:18 | eighteen minutes past six a.m.       | sabah altıyı on sekiz geçiyor
