ENGLISH TIME - LEVEL 2 KELİME LİSTESİ (410 Kelime)
====================================================

No   | English                              | Türkçe
244  | Wonderful / Fantastic                | Harika / Büyüleyici
245  | Favourite                            | Favori
246  | Enjoy Doing Something                | Bir Şeyi Yapmaktan Keyif Almak
247  | Boring                               | Sıkıcı
248  | Be Keen On Something                 | Bir Şeye Çok İstekli Olmak
249  | To Be Interested In                  | Bir Şeye İlgili Olmak
250  | Prefer                               | Tercih Etmek
251  | Camping                              | Kamp Yapma / Kamp
252  | Travelling                           | Seyahat Etme / Seyahat
253  | Collect Things                       | Bir Şeyler Toplamak
254  | Skiing                               | Kayak Yapma / Kayak
255  | Fishing                              | Balık Tutma
256  | Spend Time                           | Zaman Geçirmek / Zaman Harcamak
257  | Gym                                  | Spor / Spor Salonu
258  | Drawing                              | Çizim Yapma / Çizim
259  | Painting                             | Resim Yapma / Resim / Tablo
260  | Gardening                            | Bahçecilik
261  | Repair Cars                          | Arabaları Tamir Etmek
262  | Listen to Something                  | Bir Şeyi Dinlemek
263  | Shooting                             | Atış Yapma / Atış
264  | Singing                              | Şarkı Söyleme
265  | Band                                 | Müzik Grubu
266  | Well-Known                           | İyi Bilinen
267  | Lead Singer                          | Solist (Müzik Grubunun)
268  | Concert                              | Konser
269  | Conductor                            | Orkestra Şefi
270  | Violinist                            | Kemancı
271  | Violin                               | Keman
272  | Composer                             | Bestekar
273  | Perform                              | İcra Etmek
274  | Thriller                             | Gerilim
275  | Exciting                             | Heyecan Verici
276  | Comedy                               | Komedi
277  | Funny                                | Eğlenceli
278  | Violent                              | Şiddetli / Şiddet İçerikli
279  | Love Story                           | Aşk Hikayesi
280  | Cinema                               | Sinema
281  | Movie                                | Film
282  | Review                               | İnceleme
283  | Star                                 | Yıldız
284  | Actor                                | Aktör
285  | See a Film At the Cinema             | Sinemada Bir Film İzlemek
286  | Media                                | Medya
287  | Magazine                             | Dergi
288  | Report                               | Rapor
289  | Event                                | Olay
290  | Die                                  | Ölmek
291  | War                                  | Savaş
292  | Peace                                | Barış / Huzur
293  | Disaster                             | Felaket
294  | Celebrity                            | Ünlü (Kişi)
295  | Advert / Advertisement               | İlan / Reklam
296  | Newspaper / Paper                    | Gazete
297  | Find Out                             | Bulmak
298  | Happen                               | Olmak / Meydana Gelmek
299  | Article                              | Makale
300  | On TV                                | Televizyonda
301  | On the Radio                         | Radyoda
302  | Nothing Much / Nothing Important     | Önemli Bir Şey Değil
303  | Weather Forecast                     | Hava Durumu / Tahmini
304  | Believe                              | İnanmak
305  | To Go Abroad                         | Yurtdışına Gitmek
306  | To Book a Flight                     | Bir Uçuş Rezervasyonu Yapmak
307  | Find Your Passport                   | Pasaportunu Bulmak
308  | To Get a Visa                        | Vize Almak
309  | To Get Travel Insurance              | Seyahat Sigortası Almak
310  | To Get Foreign Currency              | Yabancı Ülke Parası Almak
311  | To Pack Your Suitcase                | Valizini Toplamak
312  | To Hire a Car                        | Araba Kiralamak
313  | To Arrange Something                 | Bir Şey Ayarlamak
314  | On Holiday                           | Tatilde
315  | Currency                             | Döviz
316  | To Stay in a Hotel                   | Bir Otelde Kalmak
317  | Facilities                           | Özellikler
318  | Air Conditioning                     | Klima
319  | Central Heating                      | Merkezi Isıtma
320  | Staff                                | Personel / Kadro
321  | Helpful                              | Yardımcı / Yardımsever
322  | Tourist                              | Turist
323  | Delicious                            | Lezzetli
324  | Recommend                            | Önermek
325  | To Book A Room                       | Bir Oda Rezervasyonu Yapmak
326  | Included                             | İçeren
327  | Never Mind                           | Dert Etme / Boşver
328  | Details                              | Detaylar
329  | Double Room                          | Çift Kişilik Oda
330  | Single Room                          | Tek Kişilik Oda
331  | Twin Room                            | Çift Yataklı Oda
332  | That's a Shame                       | Bu Bir Utanç
333  | What a Shame                         | Ne Utanç Verici
334  | Passengers                           | Yolcular
335  | Airport                              | Havaalanı
336  | Luggage / Suitcase / Bag             | Bagaj / Valiz / Çanta
337  | Ticket                               | Bilet
338  | Hand Luggage                         | El Bagajı
339  | Window Seat                          | Pencere Koltuğu
340  | Aisle                                | Koridor
341  | Have a Good Flight                   | İyi Uçuşlar
342  | Departed                             | Ayrılmış
343  | Departure                            | Havalanma / Kalkış
344  | Gate                                 | Kapı
345  | Delay                                | Gecikme
346  | Fasten Seat Belt                     | Emniyet Kemeri Takmak
347  | Plane Takes Off                      | Uçak Kalkar
348  | Plane Lands                          | Uçak İner
349  | Baggage Reclaim                      | Bagaj Teslim
350  | To Go Through Customs                | Gümrükten Geçmek
351  | Resort                               | Tatil Yeri
352  | Fly                                  | Uçuş Yapmak
353  | Rent an Apartment                    | Apartman Dairesi Kiralamak
354  | Sunbathe                             | Güneşlenmek
355  | Relax                                | Rahatlamak
356  | An Hour or So                        | Bir Saate Kadar
357  | To Go For a Walk                     | Yürüyüşe Çıkmak
358  | Perfect                              | Mükemmel
359  | Map                                  | Harita
360  | Guide                                | Rehber
361  | Guide Book                           | Rehber Kitap
362  | To Go Sightseeing                    | Geziye Çıkmak / Bölge Turuna Çıkmak
363  | Art Gallery                          | Sanat Galerisi
364  | To Visit Museum                      | Müze Ziyaret Etmek
365  | To Look Around                       | Bakınmak / Etrafı Seyretmek
366  | To Get Lost                          | Kaybolmak
367  | To Take Photos                       | Fotoğraf Çekmek
368  | Cash Machine                         | Para Çekme Makinesi
369  | Change Dollars into Euro             | Doları Avroya Çevirmek
370  | Exchange Rate                        | Döviz Kuru
371  | Commission                           | Komisyon
372  | To Charge Someone                    | Birini Suçlamak
373  | Envelope                             | Zarf
374  | Put a Stamp                          | Posta Pulu Koymak
375  | Postman                              | Postacı (Erkek)
376  | Postwoman                            | Postacı (Kadın)
377  | A Parcel                             | Posta / Parsel / Koli
378  | Have a Nice Day                      | İyi Günler
379  | Have a Good Day                      | İyi Günler
380  | Well Done                            | Aferin
381  | Congratulations                      | Tebrikler
382  | Good Luck                            | İyi Şanslar
383  | Cheers                               | Şerefe
384  | To Go Out For                        | Dışarı Çıkmak
385  | Come Around For (a Drink)            | İçmek İçin Dışarıda Buluşmak
386  | Invite                               | Davet Etmek
387  | Party                                | Parti
388  | Great                                | Harika
389  | I'd Love To                          | Çok İsterim
390  | That Sounds Lovely                   | Kulağa Hoş Geliyor
391  | I'm Afraid I Can't                   | Korkarım Yapamam
392  | Suggest                              | Önermek
393  | Offer                                | Ismarlamak
394  | Accept                               | Kabul Etmek
395  | Refuse                               | Geri Çevirmek
396  | Let Me Pay                           | Bırak Ben Ödeyeyim
397  | Let Me Give You a Lift               | Ben Seni Bırakayım
398  | Apologize To Something               | Bir Şey İçin Özür Dilemek
399  | Rude                                 | Kaba
400  | Lose                                 | Kaybetmek
401  | Excellent                            | Harika
402  | Think                                | Düşünmek
403  | Thought                              | Düşünce
404  | Agree With Someone                   | Biriyle Aynı Fikirde Olmak
405  | Personally                           | Kişisel Olarak
406  | A Waste of Money / Time              | Para / Zaman Kaybı / İsrafı
407  | Take a Message                       | Mesaj / Not Almak
408  | Leave a Message                      | Mesaj Bırakmak
409  | Line is Busy / Engaged               | Hat Meşgul
410  | Wrong Number                         | Yanlış Numara
