ENGLISH TIME - LEVEL 2 İPUCU LİSTESİ (410 Kelime)
====================================================

No   | English                               | Türkçe                                | English Hint (A2 Level)                             | Türkçe İpucu
24   | Public Transport                      | Toplu Taşıma                          | Buses and trains for everyone to use.               | Herkesin kullanması için olan otobüsler ve trenler.
25   | Terrible                              | Korkunç                               | Very bad.                                           | Çok kötü.
26   | Ride a Bike                           | Bisiklete Binmek                      | To travel on a bicycle.                             | Bir bisikletin üzerinde gitmek.
27   | Alone                                 | Yalnız                                | Without other people.                               | Başka insanlar olmadan, tek başına.
28   | Lonely                                | Yalnız Bir Şekilde                    | Feeling sad because you are alone.                  | Tek başına olduğun için üzgün hissetmek.
29   | Look After                            | İlgilenmek                            | To take care of someone or something.               | Birine veya bir şeye iyi bakmak.
30   | Market                                | Market                                | A place to buy fresh food and things.               | Taze yiyecek ve eşyalar satın alınan yer.
31   | Outdoor                               | Açık Hava / Dış Mekan                 | Outside a building.                                 | Bir binanın dışı.
32   | Indoor                                | Kapalı / İç Mekan                     | Inside a building.                                  | Bir binanın içi.
33   | Shopping Centre                       | Alışveriş Merkezi                     | A big building with many shops.                     | İçinde çok sayıda mağaza olan büyük bina.
34   | Department Store                      | Büyük Mağaza                          | A large shop with different sections.               | Farklı bölümleri olan büyük dükkan.
35   | Hypermarket                           | Hipermarket                           | A very big supermarket.                             | Çok büyük bir süpermarket.
36   | Butcher's                             | Kasap                                 | A shop where you buy meat.                          | Et satın aldığın dükkan.
37   | Chemist's                             | Eczane                                | A shop where you buy medicine.                      | İlaç satın aldığın dükkan.
38   | Paper Shop / Newsagent                | Gazete Bayii                          | A shop where you buy newspapers and magazines.      | Gazete ve dergi satın aldığın dükkan.
39   | Convenient                            | Uygun                                 | Easy to use or easy to do.                          | Kullanması veya yapması kolay olan.
40   | Get                                   | Edinmek / Almak                       | To take or receive something.                       | Bir şeyi almak veya elde etmek.
41   | Do The Shopping                       | Alışveriş Yapmak                      | To go to shops to buy things.                       | Bir şeyler satın almak için dükkanlara gitmek.
42   | Queue                                 | Sıra / Kuyruk                         | A line of people waiting for something.             | Bir şey için bekleyen insan sırası.
43   | Check Out                             | Kasa                                  | The place where you pay in a shop.                  | Bir mağazada aldıklarını ödediğin yer.
44   | Choose                                | Seçmek                                | To pick one thing from many.                        | Birçok şey arasından bir tanesini almak.
45   | Prefer                                | Tercih Etmek                          | To like one thing more than another.                | Bir şeyi diğerinden daha çok sevmek.
46   | Fill                                  | Doldurmak                             | To make something full.                             | Bir şeyi tam dolu hale getirmek.
47   | Full                                  | Dolu                                  | Having no empty space.                              | Hiç boş yeri olmayan.
48   | Trolley                               | Alışveriş Arabası                     | A big basket on wheels for shopping.                | Alışveriş yapmak için tekerlekli büyük sepet.
49   | Deliver                               | İletmek / Ulaştırmak                  | To take things to a person's house.                 | Eşyaları bir kişinin evine götürmek.
50   | (on) The Top Floor                    | Üst Katta                             | The highest level of a building.                    | Bir binanın en yüksek katı.
51   | (on) The Second Floor                 | İkinci Katta                          | The level above the first floor.                    | Birinci katın üstündeki kat.
52   | (on) The First Floor                  | Birinci Katta                         | The level above the ground floor.                   | Zemin katın üstündeki kat.
53   | (on) The Ground Floor                 | Zemin Katta                           | The level of a building at street level.            | Bir binanın sokak seviyesindeki giriş katı.
54   | Garden                                | Bahçe                                 | The green area outside a house.                     | Bir evin dışındaki çiçekli yeşil alan.
55   | Steps                                 | Merdivenler / Basamaklar              | Things you walk up or down outside.                 | İnip çıkarken yürüdüğün basamaklar.
56   | (in) The Basement                     | Bodrumda                              | The room under a house.                             | Bir evin altındaki yeraltı odası.
57   | Rubbish                               | Çöp                                   | Things you do not need and throw away.              | İhtiyacın olmayan ve çöpe attığın şeyler.
58   | Front Door                            | Sokak Kapısı / Ön Kapı                | The main door to enter a house.                     | Bir eve girmek için kullanılan ana kapı.
59   | Stairs                                | Merdivenler                           | A set of steps inside a building.                   | Bina içindeki basamaklar dizisi.
60   | Lift                                  | Asansör                               | A machine that takes you up and down in a building. | Binada seni katlar arası aşağı yukarı taşıyan makine.
61   | Flat                                  | Daire                                 | A home that is part of a larger building.           | Büyük bir binanın içinde yer alan ev.
62   | Balcony                               | Balkon                                | An open area outside an upstairs window.            | Üst kat penceresinin dışındaki açık alan.
63   | Modern                                | Modern                                | New and completely different from old styles.       | Yeni olan ve eski stillerden farklı olan.
64   | Old                                   | Eski                                  | Not new.                                            | Yeni olmayan.
65   | View                                  | Görüntü / Manzara                     | What you can see from a window or high place.       | Bir pencereden veya yüksekten görebildiğin şey.
66   | Upstairs                              | Üst Kat                               | To or on a higher floor.                            | Daha yüksek bir kata veya katta.
67   | Downstairs                            | Alt Kat                               | To or on a lower floor.                             | Daha alt bir kata veya katta.
68   | Outside                               | Dışarısı                              | Not inside a building.                              | Binanın içi olmayan yer.
69   | Inside                                | İçerisi                               | In a building or room.                              | Bir binanın veya odanın içi.
70   | Garage                                | Garaj                                 | A building to keep a car safe.                      | Arabayı güvende tutmak için yapılan kapalı yer.
71   | Parking                               | Park Yeri                             | A place to leave your car.                          | Arabanı bırakacağın yer.
72   | Living Room                           | Oturma Odası                          | A room where people sit and watch TV.               | İnsanların oturup TV izlediği ana oda.
73   | Dining Room                           | Yemek Odası                           | A room where you eat meals with your family.        | Ailenle birlikte yemek yediğin oda.
74   | Study Room                            | Çalışma Odası                         | A quiet room for reading and working.               | Okumak ve çalışmak için sessiz oda.
75   | Kitchen                               | Mutfak                                | A room where you cook food.                         | Yemek pişirdiğin oda.
76   | Home                                  | Ev                                    | The place where you live and feel safe.             | Yaşadığın ve güvende hissettiğin yer.
77   | House                                 | Bina                                  | A building for a family to live in.                 | Bir ailenin yaşaması için yapılmış bina.
78   | Shelf                                 | Raf                                   | A flat piece of wood on a wall to put books.        | Kitap koymak için duvardaki düz tahta.
79   | Tap                                   | Musluk                                | A thing you turn to get water.                      | Su almak için açıp kapattığın şey.
80   | Cup                                   | Fincan                                | A small container with a handle to drink tea.       | Çay içmek için kulplu küçük kap.
81   | Microwave                             | Mikrodalga                            | A machine that cooks food very fast.                | Yiyecekleri çok hızlı ısıtan küçük makine.
82   | Frying Pan                            | Kızartma Tavası                       | A flat pan used for cooking food in oil.            | Yağda yemek pişirmek için kullanılan düz tava.
83   | Freezer                               | Dondurucu                             | A very cold machine to make ice.                    | Buz yapmak için kullanılan çok soğuk makine.
84   | Sink                                  | Lavabo                                | A place in the kitchen to wash dishes.              | Mutfakta bulaşık yıkamak için olan yer.
85   | Saucer                                | Çay Tabağı                            | A small plate under a cup.                          | Fincanın altına konulan küçük tabak.
86   | Hob                                   | Set Üstü Ocak                         | The top part of a cooker where you cook.            | Ocağın üzerinde yemek pişirilen üst kısmı.
87   | Saucepan                              | Sos Tavası / Tencere                  | A deep pan for boiling food.                        | Yemek kaynatmak için kullanılan derin kap.
88   | Bin                                   | Çöp Kovası                            | A container for things you throw away.              | Çöpe atacağın şeyler için kullandığın kutu.
89   | Full                                  | Dolu                                  | Having no space for more things.                    | İçine daha fazla şey alacak yeri olmayan.
90   | Empty                                 | Boş                                   | Having nothing inside.                              | İçinde hiçbir şey olmayan.
91   | Oven                                  | Fırın                                 | A machine used for baking food like pizza.          | Pizza veya kek pişirmek için kullanılan makine.
92   | Fridge                                | Buzdolabı                             | A cold machine to keep food fresh.                  | Yiyecekleri taze tutmak için kullanılan soğuk makine.
93   | Washing Machine                       | Çamaşır Makinası                      | A machine that cleans dirty clothes.                | Kirli kıyafetleri temizleyen makine.
94   | Cupboard                              | Dolap                                 | A place with doors to keep things inside.           | İçinde eşyaları tutmak için kapakları olan yer.
95   | Dishwasher                            | Bulaşık Makinası                      | A machine that cleans cups and plates.              | Fincan ve tabakları yıkayan makine.
96   | Cooker                                | Ocak                                  | A machine used to cook hot food.                    | Sıcak yemek pişirmek için kullanılan ana makine.
97   | Do The Shopping                       | Alışveriş Yapmak                      | To buy food and things from shops.                  | Mağazalardan yiyecek ve eşya satın almak.
98   | Clean                                 | Temizlemek                            | To wash something so it is not dirty.               | Kirli olmaması için bir şeyi yıkamak/silmek.
99   | Take                                  | Almak                                 | To move something from one place to another.        | Bir şeyi bir yerden başka bir yere götürmek.
100  | Make                                  | Yapmak                                | To create or build something new.                   | Yeni bir şey yaratmak veya inşa etmek.
101  | Do the Ironing                        | Ütü Yapmak                            | To make clothes flat and smooth.                    | Kıyafetleri düz ve pürüzsüz yapmak.
102  | Do the Washing Up                     | Bulaşıkları Yıkamak                   | To clean plates and cups after eating.              | Yemekten sonra tabak ve fincanları yıkamak.
103  | Housework                             | Ev İşi                                | The work you do to keep a house clean.              | Evi temiz tutmak için yapılan işler.
104  | Homework                              | Ev Ödevi                              | School work you do at home.                         | Evde yaptığın okul işi.
105  | Bedroom                               | Yatak Odası                           | A room where you sleep.                             | Uyuduğun oda.
106  | Single Bed                            | Tekli Yatak                           | A bed for one person.                               | Bir kişi için olan yatak.
107  | Bedside Table                         | Komodin                               | A small table next to a bed.                        | Yatağın yanındaki küçük masa.
108  | Desk                                  | Sıra / Masa                           | A table for studying or working.                    | Ders çalışmak veya çalışmak için masa.
109  | Chest of Drawers                      | Çekmeceler                            | A piece of furniture to keep clothes.               | Kıyafetleri koymak için çekmeceli mobilya.
110  | Wardrobe                              | Gardırop                              | A tall cupboard for hanging clothes.                | Kıyafetleri asmak için uzun dolap.
111  | Bath                                  | Banyo                                 | A large tub to wash your body in.                   | Vücudunu yıkamak için büyük küvet.
112  | Shower                                | Duş                                   | Washing your body under falling water.              | Akan suyun altında vücudunu yıkamak.
113  | Wash Basin                            | Lavabo                                | A place in the bathroom to wash hands.              | Banyoda el yıkamak için olan yer.
114  | Mirror                                | Ayna                                  | A glass where you can see yourself.                 | Kendini görebildiğin cam.
115  | Blanket                               | Battaniye                             | A warm cover for a bed.                             | Yatak için sıcak tutan örtü.
116  | Sheets                                | Çarşaflar                             | Thin cotton covers for a bed.                       | Yatak için ince pamuklu örtüler.
117  | Towels                                | Havlular                              | Soft pieces of cloth to dry your body.              | Vücudunu kurulamak için yumuşak kumaşlar.
118  | Soap                                  | Sabun                                 | Something you use with water to wash.               | Yıkanmak için suyla kullandığın şey.
119  | Have a Wash                           | Yıkanmak                              | To clean your body.                                 | Vücudunu temizlemek.
120  | Clean Your Teeth                      | Dişlerini Temizlemek                  | To brush your teeth.                                | Dişlerini fırçalamak.
121  | Wash Your Hair                        | Saçlarını Yıkamak                     | To clean the hair on your head.                     | Başındaki saçları temizlemek.
122  | Have a Shave                          | Tıraş Olmak                           | To cut hair from the face.                          | Yüzdeki kılları kesmek.
123  | Put On Make Up                        | Makyaj Yapmak                         | To use color on your face to look nice.             | Güzel görünmek için yüze renk sürmek.
124  | Take Off Make Up                      | Makyajı Çıkarmak / Silmek             | To clean color from your face.                      | Yüzündeki boyayı temizlemek.
125  | Tissue                                | Mendil                                | Soft paper to clean your nose or face.              | Burnunu veya yüzünü temizlemek için yumuşak kağıt.
126  | Put On Perfume                        | Parfüm Sıkmak                         | To put sweet-smelling liquid on yourself.           | Üzerine güzel kokulu sıvı sıkmak.
127  | Wear Perfume                          | Parfüm Sıkmak                         | To have a nice smell on your body.                  | Vücudunda güzel bir koku olması.
128  | A Razor                               | Jilet                                 | A sharp tool for shaving.                           | Tıraş olmak için keskin alet.
129  | Toothpaste                            | Diş Macunu                            | The paste you use to clean your teeth.              | Dişlerini temizlemek için kullandığın macun.
130  | Toothbrush                            | Diş Fırçası                           | A small brush for your teeth.                       | Dişlerin için küçük fırça.
131  | Window                                | Pencere                               | A glass hole in a wall to look outside.             | Dışarı bakmak için duvardaki camlı boşluk.
132  | Light                                 | Işık                                  | Something that helps you see in the dark.           | Karanlıkta görmene yardım eden şey.
133  | Ceiling                               | Tavan                                 | The top part of a room.                             | Bir odanın üst kısmı.
134  | Wall                                  | Duvar                                 | The side of a room or building.                     | Bir odanın veya binanın yanı.
135  | Curtains                              | Perdeler                              | Pieces of cloth to cover a window.                  | Bir pencereyi kapatmak için kumaş parçaları.
136  | Cushion                               | Minder / Yastık                       | A soft bag to sit on or put on a sofa.              | Üzerine oturmak veya koltuğa koymak için yumuşak yastık.
137  | Lamp                                  | Lamba                                 | An object that makes light.                         | Işık veren nesne.
138  | Armchair                              | Tekli Koltuk                          | A comfortable chair for one person.                 | Bir kişi için rahat koltuk.
139  | Coffee Table                          | Orta Sehpa                            | A low table for the living room.                    | Oturma odası için alçak masa.
140  | Floor                                 | Yer / Kat                             | The part of a room where you walk.                  | Odanın yürüdüğün kısmı.
141  | Sofa                                  | Çekyat                                | A long comfortable seat for 2 or 3 people.          | 2 veya 3 kişi için uzun rahat koltuk.
142  | Rug                                   | Kilim                                 | A small carpet for the floor.                       | Yer için küçük halı.
143  | Carpet                                | Halı                                  | A thick cover for the floor.                        | Yer için kalın örtü.
144  | Chemistry                             | Kimya                                 | The science of what things are made of.             | Şeylerin nelerden yapıldığını inceleyen bilim.
145  | Physics                               | Fizik                                 | The science of energy and moving things.            | Enerji ve hareket eden şeylerin bilimi.
146  | Biology                               | Biyoloji                              | The science of living things.                       | Canlıların bilimi.
147  | Maths                                 | Matematik                             | The study of numbers.                               | Sayıların bilimi.
148  | Geography                             | Coğrafya                              | The study of the world and places.                  | Dünyanın ve yerlerin bilimi.
149  | History                               | Tarih                                 | The study of things in the past.                    | Geçmişteki şeylerin incelenmesi.
150  | Literature                            | Edebiyat                              | The study of written books and poems.               | Yazılmış kitapların ve şiirlerin incelenmesi.
151  | Art                                   | Resim / Sanat                         | Making beautiful things like drawings.              | Çizim gibi güzel şeyler yapma.
152  | Subjects                              | Konular / Dersler                     | The things you learn at school.                     | Okulda öğrendiğin şeyler.
153  | Good at Something                     | Bir Şeyde İyi Olmak                   | To do something very well.                          | Bir şeyi çok iyi yapmak.
154  | Bad at Something                      | Bir Şeyde Kötü Olmak                  | To not do something well.                           | Bir şeyi iyi yapamamak.
155  | Terrible At                           | Bir Şeyde Çok Kötü Olmak              | To do something very, very badly.                   | Bir şeyi çok ama çok kötü yapmak.
156  | Kindergarten                          | Anaokulu / Kreş                       | A school for very young children.                   | Çok küçük çocuklar için okul.
157  | Primary School                        | İlkokul                               | A school for young children.                        | Küçük çocuklar için okul.
158  | Secondary School                      | Ortaokul                              | A school for older children.                        | Daha büyük çocuklar için okul.
159  | State School                          | Devlet Okulu                          | A free school paid for by the government.           | Hükümetin ödediği ücretsiz okul.
160  | Private School                        | Özel Okul                             | A school where parents pay money.                   | Ailelerin para ödediği okul.
161  | Start at School                       | Okula Başlamak                        | To begin going to school.                           | Okula gitmeye başlamak.
162  | Leave School                          | Okuldan Ayrılmak                      | To finish your time at school.                      | Okuldaki zamanını bitirmek.
163  | Get a Job                             | İşe Girmek / İş Bulmak                | To find work to earn money.                         | Para kazanmak için iş bulmak.
164  | Take Exam                             | Sınav Olmak                           | To answer questions to show what you know.          | Ne bildiğini göstermek için soruları cevaplamak.
165  | Pass an Exam                          | Bir Sınavı Geçmek                     | To get a good mark in a test.                       | Bir testte iyi bir not almak.
166  | Fail an Exam                          | Bir Sınavdan Kalmak                   | To get a bad mark in a test.                        | Bir testte kötü bir not almak.
167  | Result                                | Sonuç                                 | The mark you get at the end of a test.              | Bir testin sonunda aldığın not.
168  | Grade                                 | Not / Sınav Sonucu                    | A letter or number showing how well you did.        | Ne kadar iyi yaptığını gösteren harf veya sayı.
169  | Get a Grade                           | Sınav Sonucu Almak                    | To receive your mark for a test.                    | Bir test için notunu almak.
170  | Do Well                               | İyi Yapmak                            | To be successful at something.                      | Bir şeyde başarılı olmak.
171  | Do Badly                              | Kötü Bir Şekilde Yapmak               | To not be successful at something.                  | Bir şeyde başarılı olamamak.
172  | Do a Degree                           | Derece Yapmak                         | To study at a university.                           | Üniversitede okumak.
173  | Term                                  | Dönem                                 | A part of the school year.                          | Okul yılının bir bölümü.
174  | Library                               | Kütüphane                             | A quiet place with many books to read.              | Okumak için çok sayıda kitabın olduğu sessiz yer.
175  | Undergraduate                         | Lisans Öğrencisi                      | A university student studying for their first degree.| İlk derecesi için okuyan üniversite öğrencisi.
176  | Write an Essay                        | Bir Deneme Yazısı Yazmak              | To write a short text on a subject.                 | Bir konu hakkında kısa bir metin yazmak.
177  | Again                                 | Yeniden                               | One more time.                                      | Bir kez daha.
178  | Psychology                            | Psikoloji                             | The study of the mind.                              | Zihin bilimi.
179  | A Psychologist                        | Psikolog                              | A doctor for the mind.                              | Zihin doktoru.
180  | Economics                             | Ekonomi                               | The study of money and business.                    | Para ve iş dünyasının bilimi.
181  | Economist                             | Ekonomist                             | An expert in money and business.                    | Para ve iş dünyasında uzman.
182  | Law                                   | Hukuk                                 | The rules of a country.                             | Bir ülkenin kuralları.
183  | Lawyer                                | Avukat                                | A person who helps people with the law.             | İnsanlara hukuk konusunda yardım eden kişi.
184  | Politics                              | Siyaset                               | The work of running a country.                      | Bir ülkeyi yönetme işi.
185  | A Politician                          | Siyasetçi                             | A person who works in the government.               | Hükümette çalışan kişi.
186  | Engineering                           | Mühendislik                           | The work of designing roads or machines.            | Yollar veya makineler tasarlama işi.
187  | An Engineer                           | Mühendis                              | A person who designs machines or buildings.         | Makineler veya binalar tasarlayan kişi.
188  | Architecture                          | Mimarlık                              | The art of designing buildings.                     | Binalar tasarlama sanatı.
189  | An Architect                          | Mimar                                 | A person who draws plans for houses.                | Evler için planlar çizen kişi.
190  | A Builder                             | İnşaatçı                              | A person who makes buildings.                       | Binalar yapan kişi.
191  | A Teacher                             | Öğretmen                              | A person who helps students learn.                  | Öğrencilerin öğrenmesine yardım eden kişi.
192  | A Shop Assistant                      | Satıcı                                | A person who works in a shop.                       | Bir dükkanda çalışan kişi.
193  | A Nurse                               | Hemşire                               | A person who helps doctors in a hospital.           | Hastanede doktorlara yardım eden kişi.
194  | A Secretary                           | Sekreter                              | A person who works in an office and answers phones. | Ofiste çalışan ve telefonlara bakan kişi.
195  | A Hairdresser                         | Kuaför                                | A person who cuts and styles hair.                  | Saçları kesen ve şekil veren kişi.
196  | A Chef                                | Şef                                   | A person who cooks food in a restaurant.            | Restoranda yemek pişiren kişi.
197  | A Dentist                             | Dişçi                                 | A doctor for your teeth.                            | Dişleriniz için doktor.
198  | A Soldier                             | Asker                                 | A person in the army.                               | Ordudaki kişi.
199  | A Cleaner                             | Temizlikçi                            | A person whose job is to clean places.              | İşi yerleri temizlemek olan kişi.
200  | A Vet                                 | Veteriner                             | A doctor for animals.                               | Hayvanlar için doktor.
201  | A Pilot                               | Pilot                                 | A person who flies planes.                          | Uçak uçuran kişi.
202  | A Lorry Driver                        | Kamyonet Sürücüsü                     | A person who drives big trucks.                     | Büyük kamyonları süren kişi.
203  | Self-Employed                         | Kendi İşinin Sahibi                   | Working for yourself, not for a boss.               | Bir patron için değil, kendi için çalışan.
204  | Unemployed                            | İşsiz                                 | Not having a job.                                   | Bir işi olmayan.
205  | Retired                               | Emekli                                | Stopped working because you are older.              | Yaşlı olduğun için çalışmayı bırakmış.
206  | Housewife                             | Ev Hanımı                             | A woman who works at home looking after her family. | Evde çalışıp ailesine bakan kadın.
207  | Boss                                  | Patron                                | The person you work for.                            | Kendisi için çalıştığın kişi.
208  | An Office                             | Ofis                                  | A room where people work at desks.                  | İnsanların masalarda çalıştığı oda.
209  | A Factory                             | Fabrika                               | A big building where things are made.               | Eşyaların yapıldığı büyük bina.
210  | Company                               | Şirket                                | A business that sells things or services.           | Bir şeyler veya hizmetler satan işletme.
211  | Full-Time                             | Tam Zamanlı                           | Working all the days of a week.                     | Haftanın tüm günleri çalışmak.
212  | Part-Time                             | Yarı Zamanlı                          | Working only some days or hours.                    | Sadece bazı günler veya saatler çalışmak.
213  | Long Hours                            | Uzun Saatler                          | Working for a very long time every day.             | Her gün çok uzun süre çalışmak.
214  | Earn                                  | Kazanmak (Para)                       | To get money for your work.                         | Yaptığın iş için para almak.
215  | Salary                                | Maaş                                  | Money you get every month for your job.             | İşin için her ay aldığın para.
216  | Wages                                 | Günlük/Haftalık Ücret                 | Money you get every day or week for work.           | İş için her gün veya her hafta aldığın para.
217  | Low                                   | Düşük                                 | Not high.                                           | Yüksek değil.
218  | High                                  | Yüksek                                | Not low.                                            | Düşük değil.
219  | Design Building                       | Bina Tasarlamak                       | To draw plans for a new house.                      | Yeni bir ev için planlar çizmek.
220  | Discuss Something                     | Bir Şeyi Tartışmak                    | To talk about a subject with other people.          | Başka insanlarla bir konu hakkında konuşmak.
221  | To Go To Meeting                      | Bir Toplantıya Gitmek                 | To go to a room to talk with people from work.      | İş yerindeki insanlarla konuşmak için odaya gitmek.
222  | Write a Report                        | Bir Rapor Yazmak                      | To write information on paper for work.             | İş için kağıda bilgi yazmak.
223  | Organize Meeting                      | Toplantı Organize Etmek               | To plan a time for people to talk at work.          | İş yerinde insanların konuşması için zaman planlamak.
224  | Colleague                             | İş Arkadaşı / Meslektaş               | A person you work with.                             | Birlikte çalıştığın kişi.
225  | Webcam                                | Video Kamera / İnternet Kamerası      | A small camera on a computer.                       | Bilgisayardaki küçük kamera.
226  | Printer                               | Yazıcı                                | A machine that prints words on paper.               | Kelimeleri kağıda yazdıran makine.
227  | Laptop                                | Dizüstü Bilgisayar                    | A computer you can carry with you.                  | Yanında taşıyabileceğin bilgisayar.
228  | Hard Drive                            | Sabit Disk                            | The part of a computer that saves files.            | Bilgisayarın dosyaları kaydeden kısmı.
229  | Monitor                               | Monitör                               | The screen of a computer.                           | Bilgisayarın ekranı.
230  | Disc                                  | Disk                                  | A round flat thing used to save music or files.     | Müzik veya dosya kaydetmek için yuvarlak düz şey.
231  | Mouse                                 | Fare                                  | A small tool you move to use a computer.            | Bilgisayarı kullanmak için hareket ettirdiğin küçük alet.
232  | Memory Stick                          | Taşınabilir Bellek                    | A very small thing to save computer files.          | Bilgisayar dosyalarını kaydetmek için çok küçük şey.
233  | Screen                                | Ekran                                 | The part of a TV or computer where you see pictures.| TV veya bilgisayarın resimleri gördüğün kısmı.
234  | Cut                                   | Kesmek                                | To take a piece of text away.                       | Bir metin parçasını almak/çıkarmak.
235  | Paste                                 | Yapıştırmak                           | To put a piece of text in a new place.              | Bir metin parçasını yeni bir yere koymak.
236  | Save                                  | Kaydetmek                             | To keep a document on a computer.                   | Bir belgeyi bilgisayarda tutmak/saklamak.
237  | Print                                 | Yazdırmak                             | To put a document from a computer onto paper.       | Bilgisayardaki bir belgeyi kağıda dökmek.
238  | Copy                                  | Kopyasını Almak                       | To make the same text again.                        | Aynı metni tekrar oluşturmak.
239  | Check Your Email                      | E-Posta Kontrol Etmek                 | To look on your computer for new messages.          | Yeni mesajlar için bilgisayarına bakmak.
240  | Get an Email                          | Bir E-Posta Almak                     | To receive a message on your computer.              | Bilgisayarından bir mesaj almak.
241  | Reply To An Email                     | Bir E-Postaya Cevap Vermek            | To send a message back.                             | Geriye mesaj göndermek.
242  | On The Internet                       | İnternette                            | Connected to the web.                               | Web'e bağlı olmak.
243  | Search                                | Araştırmak                            | To look for something online.                       | İnternette bir şey aramak.
244  | Wonderful / Fantastic                 | Harika / Büyüleyici                   | Really really good.                                 | Gerçekten çok çok iyi.
245  | Favourite                             | Favori                                | The one you like the most.                          | En çok sevdiğin şey.
246  | Enjoy Doing Something                 | Bir Şeyi Yapmaktan Keyif Almak        | To be happy doing an activity.                      | Bir aktiviteyi yaparken mutlu olmak.
247  | Boring                                | Sıkıcı                                | Not interesting.                                    | İlgi çekici değil.
248  | Be Keen On Something                  | Bir Şeye Çok İstekli Olmak            | To really like doing something.                     | Bir şeyi yapmayı gerçekten çok sevmek.
249  | To Be Interested In                   | Bir Şeye İlgili Olmak                 | Wanting to know more about a subject.               | Bir konu hakkında daha çok şey bilmek istemek.
250  | Prefer                                | Tercih Etmek                          | To like something better.                           | Bir şeyi daha iyi/çok sevmek.
251  | Camping                               | Kamp Yapma / Kamp                     | Sleeping outside in a tent.                         | Dışarıda bir çadırda uyumak.
252  | Travelling                            | Seyahat Etme / Seyahat                | Going to different places.                          | Farklı yerlere gitmek.
253  | Collect Things                        | Bir Şeyler Toplamak                   | To keep many things of the same kind.               | Aynı türden birçok şeyi saklamak/toplamak.
254  | Skiing                                | Kayak Yapma / Kayak                   | Moving over snow on long flat boards.               | Uzun düz tahtalar üzerinde karda hareket etmek.
255  | Fishing                               | Balık Tutma                           | Trying to catch fish.                               | Balık yakalamaya çalışmak.
256  | Spend Time                            | Zaman Geçirmek / Zaman Harcamak       | To use your time doing something.                   | Zamanını bir şey yaparak kullanmak.
257  | Gym                                   | Spor Salonu                           | A place to exercise and get strong.                 | Egzersiz yapmak ve güçlenmek için bir yer.
258  | Drawing                               | Çizim Yapma / Çizim                   | Making pictures with a pencil.                      | Bir kalemle resimler yapmak.
259  | Painting                              | Resim Yapma / Tablo                   | Making pictures with colors.                        | Renklerle resimler yapmak.
260  | Gardening                             | Bahçecilik                            | Growing plants and flowers outside.                 | Dışarıda bitki ve çiçek yetiştirmek.
261  | Repair Cars                           | Arabaları Tamir Etmek                 | To fix broken cars.                                 | Bozuk arabaları düzeltmek.
